Neuron_1,Neuron_2,Neuron_3,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.33,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.00,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.32,0.01,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.02,
0.00,0.31,0.03,
0.00,0.31,0.03,
0.00,0.31,0.03,
0.00,0.31,0.03,
0.00,0.31,0.03,
0.00,0.30,0.03,
0.00,0.30,0.03,
0.00,0.30,0.03,
0.00,0.30,0.03,
0.00,0.30,0.03,
0.00,0.30,0.03,
0.00,0.30,0.03,
0.00,0.30,0.04,
0.00,0.30,0.04,
0.00,0.30,0.04,
0.00,0.30,0.04,
0.00,0.30,0.04,
0.00,0.30,0.04,
0.00,0.29,0.04,
0.00,0.29,0.04,
0.00,0.29,0.04,
0.00,0.29,0.04,
0.00,0.29,0.05,
0.00,0.29,0.05,
0.00,0.29,0.05,
0.00,0.29,0.05,
0.00,0.29,0.05,
0.00,0.29,0.05,
0.00,0.28,0.05,
0.00,0.28,0.05,
0.00,0.28,0.05,
0.00,0.28,0.05,
0.00,0.28,0.06,
0.00,0.28,0.06,
0.00,0.28,0.06,
0.00,0.28,0.06,
0.00,0.28,0.06,
0.00,0.27,0.06,
0.00,0.27,0.06,
0.00,0.27,0.06,
0.00,0.27,0.07,
0.00,0.27,0.07,
0.00,0.27,0.07,
0.00,0.27,0.07,
0.00,0.27,0.07,
0.00,0.26,0.07,
0.00,0.26,0.07,
0.00,0.26,0.07,
0.00,0.26,0.08,
0.00,0.26,0.08,
0.00,0.26,0.08,
0.00,0.26,0.08,
0.00,0.25,0.08,
0.00,0.25,0.08,
0.00,0.25,0.09,
0.00,0.25,0.09,
0.00,0.25,0.09,
0.00,0.25,0.09,
0.00,0.25,0.09,
0.00,0.24,0.09,
0.00,0.24,0.09,
0.00,0.24,0.10,
0.00,0.24,0.10,
0.00,0.24,0.10,
0.00,0.24,0.10,
0.00,0.23,0.10,
0.00,0.23,0.11,
0.00,0.23,0.11,
0.00,0.23,0.11,
0.00,0.23,0.11,
0.00,0.22,0.11,
0.00,0.22,0.11,
0.00,0.22,0.12,
0.00,0.22,0.12,
0.00,0.22,0.12,
0.00,0.21,0.12,
0.00,0.21,0.12,
0.00,0.21,0.13,
0.00,0.21,0.13,
0.00,0.21,0.13,
0.00,0.20,0.13,
0.00,0.20,0.14,
0.00,0.20,0.14,
0.00,0.20,0.14,
0.00,0.20,0.14,
0.00,0.19,0.14,
0.00,0.19,0.15,
0.00,0.19,0.15,
0.00,0.19,0.15,
0.00,0.18,0.15,
0.00,0.18,0.16,
0.00,0.18,0.16,
0.00,0.18,0.16,
0.00,0.17,0.16,
0.00,0.17,0.17,
0.00,0.17,0.17,
0.00,0.17,0.17,
0.00,0.16,0.17,
0.00,0.16,0.18,
0.00,0.16,0.18,
0.00,0.15,0.18,
0.00,0.15,0.19,
0.00,0.15,0.19,
0.00,0.15,0.19,
0.00,0.14,0.19,
0.00,0.14,0.20,
0.00,0.14,0.20,
0.00,0.13,0.20,
0.00,0.13,0.21,
0.00,0.13,0.21,
0.00,0.12,0.21,
0.00,0.12,0.22,
0.00,0.12,0.22,
0.00,0.11,0.22,
0.00,0.11,0.23,
0.00,0.11,0.23,
0.00,0.10,0.23,
0.00,0.10,0.24,
0.00,0.10,0.24,
0.00,0.09,0.24,
0.00,0.09,0.25,
0.00,0.09,0.25,
0.00,0.08,0.26,
0.00,0.08,0.26,
0.00,0.07,0.26,
0.00,0.07,0.27,
0.00,0.07,0.27,
0.00,0.06,0.28,
0.00,0.06,0.28,
0.00,0.05,0.28,
0.00,0.05,0.29,
0.00,0.05,0.29,
0.00,0.04,0.30,
0.00,0.04,0.30,
0.00,0.03,0.30,
0.00,0.03,0.31,
0.00,0.02,0.31,
0.00,0.02,0.32,
0.00,0.01,0.32,
0.00,0.01,0.33,
0.00,0.00,0.33,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.68,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.67,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.66,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.65,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.64,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.63,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.62,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.61,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.60,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.59,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.58,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.57,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.56,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.55,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.54,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.53,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.52,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.51,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.50,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.49,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.48,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.47,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.46,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.45,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.44,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.43,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.42,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.41,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.40,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.39,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.38,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.37,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.36,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.35,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
0.00,0.00,0.34,
