Neuron_1,Neuron_2,Neuron_3,
0.00,0.03,0.41,
0.00,0.02,0.41,
0.01,0.02,0.41,
0.01,0.01,0.41,
0.02,0.01,0.41,
0.02,0.00,0.41,
0.03,0.00,0.42,
0.03,0.00,0.42,
0.04,0.00,0.42,
0.04,0.00,0.42,
0.05,0.00,0.42,
0.05,0.00,0.42,
0.06,0.00,0.42,
0.06,0.00,0.42,
0.07,0.00,0.42,
0.07,0.00,0.42,
0.08,0.00,0.42,
0.08,0.00,0.42,
0.09,0.00,0.42,
0.09,0.00,0.42,
0.10,0.00,0.42,
0.10,0.00,0.42,
0.11,0.00,0.41,
0.11,0.00,0.41,
0.12,0.00,0.41,
0.12,0.00,0.41,
0.13,0.00,0.41,
0.13,0.00,0.41,
0.13,0.00,0.41,
0.14,0.00,0.40,
0.14,0.00,0.40,
0.15,0.00,0.40,
0.15,0.00,0.40,
0.16,0.00,0.40,
0.16,0.00,0.39,
0.16,0.00,0.39,
0.17,0.00,0.39,
0.17,0.00,0.39,
0.18,0.00,0.38,
0.18,0.00,0.38,
0.18,0.00,0.38,
0.19,0.00,0.38,
0.19,0.00,0.37,
0.20,0.00,0.37,
0.20,0.00,0.37,
0.20,0.00,0.37,
0.21,0.00,0.36,
0.21,0.00,0.36,
0.22,0.00,0.36,
0.22,0.00,0.35,
0.22,0.00,0.35,
0.23,0.00,0.35,
0.23,0.00,0.34,
0.23,0.00,0.34,
0.24,0.00,0.34,
0.24,0.00,0.33,
0.24,0.00,0.33,
0.25,0.00,0.33,
0.25,0.00,0.32,
0.25,0.00,0.32,
0.26,0.00,0.31,
0.26,0.00,0.31,
0.26,0.00,0.31,
0.27,0.00,0.30,
0.27,0.00,0.30,
0.27,0.00,0.29,
0.28,0.00,0.29,
0.28,0.00,0.29,
0.28,0.00,0.28,
0.28,0.00,0.28,
0.29,0.00,0.27,
0.29,0.00,0.27,
0.29,0.00,0.27,
0.30,0.00,0.26,
0.30,0.00,0.26,
0.30,0.00,0.25,
0.30,0.00,0.25,
0.31,0.00,0.24,
0.31,0.00,0.24,
0.31,0.00,0.24,
0.32,0.00,0.23,
0.32,0.00,0.23,
0.32,0.00,0.22,
0.32,0.00,0.22,
0.33,0.00,0.21,
0.33,0.00,0.21,
0.33,0.00,0.20,
0.33,0.00,0.20,
0.34,0.00,0.19,
0.34,0.00,0.19,
0.34,0.00,0.19,
0.34,0.00,0.18,
0.34,0.00,0.18,
0.35,0.00,0.17,
0.35,0.00,0.17,
0.35,0.00,0.16,
0.35,0.00,0.16,
0.36,0.00,0.15,
0.36,0.00,0.15,
0.36,0.00,0.14,
0.36,0.00,0.14,
0.36,0.00,0.13,
0.37,0.00,0.13,
0.37,0.00,0.12,
0.37,0.00,0.12,
0.37,0.00,0.12,
0.37,0.00,0.11,
0.38,0.00,0.11,
0.38,0.00,0.10,
0.38,0.00,0.10,
0.38,0.00,0.09,
0.38,0.00,0.09,
0.39,0.00,0.08,
0.39,0.00,0.08,
0.39,0.00,0.07,
0.39,0.00,0.07,
0.39,0.00,0.06,
0.40,0.00,0.06,
0.40,0.00,0.05,
0.40,0.00,0.05,
0.40,0.00,0.04,
0.40,0.00,0.04,
0.40,0.00,0.04,
0.41,0.00,0.03,
0.41,0.00,0.03,
0.41,0.00,0.02,
